Brno - parkoviště u OD Tesco ; u podchodu,Úzká 4; Brno-střed 60200,Statutární město Brno,49°11'22.7N 16°36'45.7E
Brno - Příkop naproti č.o.29,Příkop 29; Brno-střed 60200,Statutární město Brno,49°11'55.2N 16°36'54.5E
Brno střed - křižovatka Tučkova a Sokolská ; místo separ. odpadu,Tučkova 2; Brno-střed 60200,Statutární město Brno,49°12'22.5N 16°35'56.0E
Brno -Renneská; za prodejnou Lidl; parkoviště roh Renneská- Havlenova,Renneská třída 22; Brno-střed 63900,Statutární město Brno,49°10'55.7N 16°36'00.1E
Brno - MČ Brno střed - křižovatka Křenová a Masná ; Khoma,Masná 2; Brno-střed 60200,Statutární město Brno,49°11'27.5N 16°37'33.2E
Brno - Brno střed Výstavní 30,Výstavní 30; Brno-střed 60200,Statutární město Brno,49°11'21.0N 16°35'18.6E
Brno - Lerchova ; naproti č.o. 65; před Rio barem; naproti ZŠ,Lerchova 65; Brno-střed 60200,Statutární město Brno,49°11'56.4N 16°35'00.3E
Brno - Královo Pole ; ul Botanická ; vjezd do vnitrobloku 57-63 Brno-Královo Pole,Botanická 57; Brno-Královo Pole 60200,Statutární město Brno,49°12'37.3N 16°35'50.7E
Brno - Brno Židenice - Šámalova x Krokova,Šámalova 85; Brno-Židenice 61500,Statutární město Brno,49°11'52.8N 16°37'55.9E
Brno - roh Kounicova a Šumavská ; před Billou,Kounicova 67a; Brno-střed 60200,Statutární město Brno,49°12'36.9N 16°35'35.5E
Brno Jih - ul. Hodonínská; u křižovatky s ul. Za mostem,Hodonínská 2; Brno-jih 61700,Statutární město Brno,49°10'45.0N 16°37'21.0E
Brno-Žabovřesky - Kounicova 87,Kounicova 87; Brno-Žabovřesky 60200,Statutární město Brno,49°12'44.2N 16°35'32.6E
Brno Žabovřesky - Eleonory Voračické 35,Eleonory Voračické 35; Brno-Žabovřesky 61600,Statutární město Brno,49°12'28.8N 16°34'53.3E
Brno - Královo Pole ; U Červeného mlýna 4,U Červeného mlýna 4; Brno-Královo Pole 60200,Statutární město Brno,49°12'55.7N 16°36'07.2E
Brno - Brno Černovice ; křižovatka ul. Řehořova a El. Krásnohorské,Řehořova 36; Brno-Černovice 61800,Statutární město Brno,49°11'03.8N 16°38'03.1E
Brno Jih - ul. Klášterského 13; parkoviště,Kláštěrského 13; Brno-jih 61700,Statutární město Brno,49°10'34.1N 16°37'14.2E
Brno - Brno střed; ul. Barvičova naproti č.o.98,Barvičova 98; Brno-střed 60200,Statutární město Brno,49°12'04.6N 16°34'33.2E
Brno Žabovřesky - Korejská 2008/7,Korejská 7/2008; Brno-Žabovřesky 60200,Statutární město Brno,49°12'48.8N 16°35'13.8E
Brno - Komárov; Lužná 559 /3 Brno-jih,Lužná 3/559; Brno-jih 61700,PEVAL PLUS s.r.o.,49°10'31.3N 16°37'22.8E
Brno - Brno Židenice - Kosmákova u č. 45,Kosmákova 45; Brno-Židenice 61500,Statutární město Brno,49°12'18.4N 16°38'21.8E
Brno - Brno Židenice - Stará Osada u OC Albert,Stará Osada 15; Brno-Židenice 61500,Statutární město Brno,49°12'09.8N 16°38'24.2E
Brno - Černovice ul. Spáčilova 1109 / 15 Brno-Černovice,Spáčilova 15/1109; Brno-Černovice 61800,Statutární město Brno,49°11'15.6N 16°38'27.5E
Brno Žabovřesky - křižovatka nám. Svornosti a Zborovská,Zborovská 43; Brno-Žabovřesky 61600,Statutární město Brno,49°12'48.5N 16°34'54.0E
Brno - Žabovřesky ; Voroněžská u domu č. 3,Voroněžská 3; Brno-Žabovřesky 61600,Statutární město Brno,49°12'54.5N 16°35'04.8E
Brno Žabovřesky; křižovatka Šmejkalova a Fanderlíkova,Šmejkalova 50; Brno-Žabovřesky 61600,Statutární město Brno,49°12'37.3N 16°34'36.3E
Brno - Brno Černovice ; ul. Krausova 1 ; za Albertem,Krausova 1; Brno-Černovice 61800,Statutární město Brno,49°11'10.6N 16°38'34.4E
Brno Žabovřesky - křižovatka Bráfova a E.Machové,Bráfova 53; Brno-Žabovřesky 61600,Statutární město Brno,49°12'34.3N 16°34'24.0E
Brno Žabovřesky - Poznaňská u školy,Poznaňská 8; Brno-Žabovřesky 61600,Statutární město Brno,49°13'06.8N 16°34'44.2E
Brno - Brno Židenice - Krásného ul.,Krásného 2; Brno-Židenice 63600,Statutární město Brno,49°11'27.5N 16°39'04.9E
Brno Žabovřesky ; parkoviště u KD Rubín,Makovského náměstí 3; Brno-Žabovřesky 61600,Statutární město Brno,49°13'05.3N 16°34'37.6E
Brno Jih - ul. Záhumenice v proluce mezi domy č.p. 23 a 27,Záhumenice 23; Brno-jih 61900,Statutární město Brno,49°09'52.6N 16°36'55.7E
Brno - MČ Brno-Jih; Pražákova x Bohunická Horní Heršpice,Pražákova 14a/360; Brno-jih 61900,Statutární město Brno,49°09'47.2N 16°36'13.3E
Brno - Brno Bohunice ; ul. Arménská,Arménská 2; Brno-Bohunice 62500,Statutární město Brno,49°10'00.3N 16°35'02.8E
Brno Jih - ul. Traťová ; u křižovatky s ul. Bohunická,Traťová 333; Brno-jih 61900,Statutární město Brno,49°09'47.0N 16°35'34.1E
Brno - Brno Bohunice ; ul. Vedlejší ; u ZŠ,Vedlejší 10; Brno-Bohunice 62500,Statutární město Brno,49°10'15.6N 16°34'17.9E
Brno Žabovřesky - Vychodilova - konečná MHD,Vychodilova 15; Brno-Žabovřesky 61600,Statutární město Brno,49°13'11.7N 16°34'18.4E
Brno- Královo Pole ; ul. Palackého ; u prodejny Albert,Palackého třída 128; Brno-Královo Pole 61200,Statutární město Brno,49°13'40.8N 16°35'32.4E
Brno- Nový Lískovec ul. Čtvrtě 6,Čtvrtě 6/319; Brno-Nový Lískovec 63400,Statutární město Brno,49°10'45.0N 16°33'39.9E
Brno Vinohrady - ul. Valtická 13; u vým. stanice EON,Valtická 13; Brno-Vinohrady 62800,Statutární město Brno,49°12'15.9N 16°39'26.6E
Brno Vinohrady - ul.Bořetická 7,Bořetická 7; Brno-Vinohrady 62800,Statutární město Brno,49°12'10.8N 16°39'29.5E
Brno - Královo Pole ; ul. Dalimilova ; před prodejnou Lidl Brno-Královo Pole,Dalimilova 152; Brno-Královo Pole 61200,Statutární město Brno,49°13'47.0N 16°35'32.0E
Brno - Starý Lískovec ; Labská 3-5 ; separ. odpad,Labská 5; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'22.2N 16°33'51.9E
Brno - Nový Lískovec ul. Oblá 12 Brno-Nový Lískovec,Oblá 12/350; Brno-Nový Lískovec 63400,Statutární město Brno,49°10'33.3N 16°33'37.0E
Brno - Jundrov ul. Jasanová 16 Jundrov,Jasanová 16/654; Brno-Jundrov 63700,Statutární město Brno,49°12'18.8N 16°33'16.0E
Brno - Brno Bohunice ; křižovatka ul. Souhrady a Žlíbek; místo separ. odpadu,Souhrady 8; Brno-Bohunice 62500,Statutární město Brno,49°10'00.9N 16°34'17.2E
Brno - Starý Lískovec ; ul. Vltavská 9 ; místo sepr. odpadu,Vltavská 9; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'15.3N 16°33'48.8E
Brno - Maloměřice; ul. Slaměníkova 23 Maloměřice,Slaměníkova 23; Brno-Maloměřice a Obřany 61400,Statutární město Brno,49°13'14.9N 16°38'50.9E
Brno Vinohrady - Pálavské nám. 5 ; u Jysku,Pálavské náměstí 5; Brno-Vinohrady 62800,Statutární město Brno,49°12'20.9N 16°39'39.6E
Brno Vinohrady - ul. Prušánecká 11,Prušánecká 11; Brno-Vinohrady 62800,Statutární město Brno,49°12'28.8N 16°39'36.8E
Brno Vinohrady - ul. Bzenecká 19,Bzenecká 19; Brno-Vinohrady 62800,Statutární město Brno,49°12'25.5N 16°39'39.0E
Brno Vinohrady - ul. Blatnická 16,Blatnická 16; Brno-Vinohrady 62800,Statutární město Brno,49°12'32.0N 16°39'39.0E
Brno Vinohrady - ul. Velkopavlovická 7 ; u školky,Velkopavlovická 7; Brno-Vinohrady 62800,Statutární město Brno,49°12'15.8N 16°39'46.5E
Brno Jih - ul. Osamělá; u křižovatky s ul. Ořechovská,Osamělá 4; Brno-jih 61900,Statutární město Brno,49°09'25.2N 16°35'41.3E
Brno-Starý Lískovec -ul. U Pošty ; pod supermarketem Albert; stanoviště sepr. odpadu,U Pošty 12; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'03.9N 16°33'56.5E
AVION Shopping Park Brno - venkovní kontejner,Skandinávská 2/128; Brno-jih 61900,Ingka Centres Česká republika s.r.o.,49°09'26.5N 16°37'36.7E
příjezd k MŠ Absolonova;,Pastviny 58; Brno-Komín 61600,Statutární město Brno,49°13'12.6N 16°33'34.6E
Brno - Starý Lískovec ; ul. Kosmonautů 2-4 ; separ. odpad,ulice Kosmonautů 2; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'02.7N 16°33'35.5E
Brno Jih - ul. Bernáčkova ; u křižovatky s ul. Vomáčkova,Bernáčkova 20; Brno-jih 61900,Statutární město Brno,49°09'14.9N 16°37'27.1E
Brno-Starý Lískovec - ul. Kurská; před Albertem ; stání separ. odpadu,Kurská 9; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'09.0N 16°33'18.0E
Brno - Nový Lískovec ul. Slunečná 6 Brno-Nový Lískovec,Slunečná 6/481; Brno-Nový Lískovec 63400,Statutární město Brno,49°10'43.9N 16°32'51.5E
Brno-Jundrov ul. Lelkova 71 Jundrov,Lelkova 71/749; Brno-Jundrov 63700,Statutární město Brno,49°12'58.3N 16°33'04.7E
Brno - Starý Lískovec - ul. Klobásova ( u TJ Tatran ) separ. odpad,Klobásova 79; Brno-Starý Lískovec 62500,Statutární město Brno,49°09'55.2N 16°33'31.0E
Brno - Komín Olbrachtovo nám. 2,Olbrachtovo nám. 2; Brno-Komín 61600,Statutární město Brno,49°13'29.2N 16°33'29.6E
Brno - Starý Lískovec ; ul. Sevastopolská 5-6 ; separ. odpad,Sevastopolská 5; Brno-Starý Lískovec 62500,Statutární město Brno,49°10'01.8N 16°33'17.3E
Brno - Obřany ; ul. Mlýnské nábřeží ; pod mostem Obřany,Mlýnské nábřeží 13; Brno-Maloměřice a Obřany 61400,Statutární město Brno,49°13'44.4N 16°39'08.9E
Brno - Komín ul. Vavřinecká 1,Vavřinecká 1; Brno-Komín 61600,Statutární město Brno,49°13'18.5N 16°32'59.8E
Brno-Medlánky - ul. Podpěrova 439/2 ; parkoviště u ul. Jabloňová,Podpěrova 2; Brno-Medlánky 62100,Statutární město Brno,49°14'18.0N 16°34'58.5E
Brno - Brno Medlánky ; ul. Jabloňová 1a ; u býv. kotelny,Jabloňová 1; Brno-Medlánky 62100,Statutární město Brno,49°14'20.0N 16°34'50.8E
